System,Type,RAh,RAm,RAs,Decd,Decm,Decs,Vmag,Kmag,length,depth,T0(HJDorBJD),T0err,Period(day),Perioderr,Ephemeris_reference
Kepler-868b,KTEP,18,49,27.23,+46,40,30.8,15.84,14.09,0.1755,0.04,2454970.32638,0.00400,5.0325701,0.0000232,2016ApJ...822...86M
Kepler-869b,KTEP,19,17,41.90,+50,59,38.8,15.15,13.36,0.2959,0.09,2454972.50631,0.00400,40.4286676,0.0001805,2016ApJ...822...86M
Kepler-870b,KTEP,19,41,36.60,+50,28,43.0,15.39,13.74,0.2426,0.06,2454968.07022,0.00400,21.3588236,0.0001094,2016ApJ...822...86M
Kepler-871b,KTEP,19,38,06.51,+43,22,05.3,15.85,14.17,0.2175,0.08,2454969.47548,0.00500,22.0459163,0.0001114,2016ApJ...822...86M
Kepler-872b,KTEP,19,41,40.18,+43,36,20.3,15.29,13.39,0.0983,0.03,2454966.22370,0.00200,2.5788521,0.0000057,2016ApJ...822...86M
Kepler-873b,KTEP,19,45,36.76,+51,16,16.8,14.94,13.44,0.2214,0.07,2454972.56130,0.00300,20.5533144,0.0000751,2016ApJ...822...86M
Kepler-874b,KTEP,19,39,49.64,+43,00,51.6,14.86,13.14,0.2453,0.10,2454984.80901,0.00200,40.0686713,0.0001018,2016ApJ...822...86M
Kepler-875b,KTEP,19,49,12.31,+43,08,30.8,15.40,13.56,0.2461,0.06,2454984.84775,0.00500,27.5071114,0.0001724,2016ApJ...822...86M
Kepler-876b,KTEP,18,53,54.76,+43,23,01.6,15.61,13.35,0.1126,0.03,2454966.83044,0.00300,5.1443645,0.0000224,2016ApJ...822...86M
Kepler-877b,KTEP,19,19,26.19,+46,31,21.6,14.72,12.65,0.1404,0.05,2454971.16350,0.00200,18.4584839,0.0000488,2016ApJ...822...86M
Kepler-878b,KTEP,19,01,11.08,+46,36,12.3,15.06,12.79,0.1685,0.06,2454989.18894,0.00300,25.9421582,0.0001126,2016ApJ...822...86M
Kepler-879b,KTEP,19,43,13.57,+50,54,35.2,14.44,12.68,0.2098,0.06,2454981.92764,0.00300,33.3856176,0.0001409,2016ApJ...822...86M
Kepler-880b,KTEP,18,47,53.10,+43,40,21.9,12.11,11.04,0.1911,0.02,2454966.55635,0.00300,7.7146769,0.0000291,2016ApJ...822...86M
Kepler-881b,KTEP,19,15,58.21,+46,40,14.7,15.34,13.71,0.1536,0.02,2454966.46308,0.00500,4.4444826,0.0000243,2016ApJ...822...86M
Kepler-882b,KTEP,19,38,35.97,+43,20,08.1,14.29,12.27,0.0663,0.02,2454967.09890,0.00200,3.9895442,0.0000098,2016ApJ...822...86M
Kepler-883b,KTEP,19,05,44.07,+50,18,01.1,13.15,11.75,0.1437,0.03,2454972.78207,0.00200,12.9849460,0.0000325,2016ApJ...822...86M
